## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT /var/lib/cwl/stg9e0caadd-b800-4a27-b5f1-e12f1e8ade66/HG00446.bam --OUTPUT HG00446.bam --METRICS_FILE HG00446.metrics.txt  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jul 19 07:26:09 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
HG00446	2	29575	5222	2	0	2596	268	0.087774	174567

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.008392	24591	0	24822
2.0	1.859631	2193	258	1992
3.0	2.578208	185	5	161
4.0	3.184799	8	0	3
5.0	3.696856	1	0	0
6.0	4.129111	1	0	1
7.0	4.494001	0	0	0
8.0	4.802025	0	0	0
9.0	5.062045	0	0	0
10.0	5.281542	0	0	0
11.0	5.466832	0	0	0
12.0	5.623245	0	0	0
13.0	5.755282	0	0	0
14.0	5.866741	0	0	0
15.0	5.960831	0	0	0
16.0	6.040256	0	0	0
17.0	6.107304	0	0	0
18.0	6.163903	0	0	0
19.0	6.211681	0	0	0
20.0	6.252013	0	0	0
21.0	6.28606	0	0	0
22.0	6.3148	0	0	0
23.0	6.339062	0	0	0
24.0	6.359542	0	0	0
25.0	6.376831	0	0	0
26.0	6.391425	0	0	0
27.0	6.403745	0	0	0
28.0	6.414145	0	0	0
29.0	6.422924	0	0	0
30.0	6.430335	0	0	0
31.0	6.436591	0	0	0
32.0	6.441872	0	0	0
33.0	6.44633	0	0	0
34.0	6.450093	0	0	0
35.0	6.45327	0	0	0
36.0	6.455951	0	0	0
37.0	6.458215	0	0	0
38.0	6.460126	0	0	0
39.0	6.461739	0	0	0
40.0	6.463101	0	0	0
41.0	6.464251	0	0	0
42.0	6.465221	0	0	0
43.0	6.46604	0	0	0
44.0	6.466732	0	0	0
45.0	6.467315	0	0	0
46.0	6.467808	0	0	0
47.0	6.468224	0	0	0
48.0	6.468575	0	0	0
49.0	6.468871	0	0	0
50.0	6.469122	0	0	0
51.0	6.469333	0	0	0
52.0	6.469511	0	0	0
53.0	6.469662	0	0	0
54.0	6.469789	0	0	0
55.0	6.469896	0	0	0
56.0	6.469987	0	0	0
57.0	6.470063	0	0	0
58.0	6.470128	0	0	0
59.0	6.470182	0	0	0
60.0	6.470228	0	0	0
61.0	6.470267	0	0	0
62.0	6.4703	0	0	0
63.0	6.470327	0	0	0
64.0	6.470351	0	0	0
65.0	6.47037	0	0	0
66.0	6.470387	0	0	0
67.0	6.470401	0	0	0
68.0	6.470413	0	0	0
69.0	6.470423	0	0	0
70.0	6.470431	0	0	0
71.0	6.470438	0	0	0
72.0	6.470444	0	0	0
73.0	6.47045	0	0	0
74.0	6.470454	0	0	0
75.0	6.470457	0	0	0
76.0	6.47046	0	0	0
77.0	6.470463	0	0	0
78.0	6.470465	0	0	0
79.0	6.470467	0	0	0
80.0	6.470469	0	0	0
81.0	6.47047	0	0	0
82.0	6.470471	0	0	0
83.0	6.470472	0	0	0
84.0	6.470473	0	0	0
85.0	6.470473	0	0	0
86.0	6.470474	0	0	0
87.0	6.470474	0	0	0
88.0	6.470475	0	0	0
89.0	6.470475	0	0	0
90.0	6.470475	0	0	0
91.0	6.470476	0	0	0
92.0	6.470476	0	0	0
93.0	6.470476	0	0	0
94.0	6.470476	0	0	0
95.0	6.470476	0	0	0
96.0	6.470476	0	0	0
97.0	6.470477	0	0	0
98.0	6.470477	0	0	0
99.0	6.470477	0	0	0
100.0	6.470477	0	0	0

