## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT /var/lib/cwl/stg78af3c0f-6aaf-4d14-868d-16afded94cf8/NA20757.bam --OUTPUT NA20757.bam --METRICS_FILE NA20757.metrics.txt  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 20 05:55:37 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NA20757	4	29339	6381	4	2	2327	357	0.079343	203412

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.011451	24848	0	25157
2.0	1.887049	2015	345	1747
3.0	2.645041	136	6	102
4.0	3.301223	12	0	5
5.0	3.869269	1	0	1
6.0	4.361019	0	0	0
7.0	4.786719	0	0	0
8.0	5.155241	0	0	0
9.0	5.474265	0	0	0
10.0	5.750439	0	0	0
11.0	5.989519	0	0	0
12.0	6.196487	0	0	0
13.0	6.375656	0	0	0
14.0	6.53076	0	0	0
15.0	6.665031	0	0	0
16.0	6.781267	0	0	0
17.0	6.881891	0	0	0
18.0	6.969	0	0	0
19.0	7.044409	0	0	0
20.0	7.109689	0	0	0
21.0	7.166201	0	0	0
22.0	7.215122	0	0	0
23.0	7.257473	0	0	0
24.0	7.294135	0	0	0
25.0	7.325874	0	0	0
26.0	7.353349	0	0	0
27.0	7.377134	0	0	0
28.0	7.397724	0	0	0
29.0	7.415548	0	0	0
30.0	7.430979	0	0	0
31.0	7.444337	0	0	0
32.0	7.4559	0	0	0
33.0	7.465911	0	0	0
34.0	7.474577	0	0	0
35.0	7.482079	0	0	0
36.0	7.488573	0	0	0
37.0	7.494196	0	0	0
38.0	7.499062	0	0	0
39.0	7.503276	0	0	0
40.0	7.506923	0	0	0
41.0	7.510081	0	0	0
42.0	7.512814	0	0	0
43.0	7.51518	0	0	0
44.0	7.517229	0	0	0
45.0	7.519002	0	0	0
46.0	7.520537	0	0	0
47.0	7.521866	0	0	0
48.0	7.523016	0	0	0
49.0	7.524012	0	0	0
50.0	7.524874	0	0	0
51.0	7.525621	0	0	0
52.0	7.526267	0	0	0
53.0	7.526826	0	0	0
54.0	7.52731	0	0	0
55.0	7.527729	0	0	0
56.0	7.528092	0	0	0
57.0	7.528406	0	0	0
58.0	7.528678	0	0	0
59.0	7.528914	0	0	0
60.0	7.529117	0	0	0
61.0	7.529294	0	0	0
62.0	7.529447	0	0	0
63.0	7.529579	0	0	0
64.0	7.529693	0	0	0
65.0	7.529792	0	0	0
66.0	7.529878	0	0	0
67.0	7.529952	0	0	0
68.0	7.530017	0	0	0
69.0	7.530072	0	0	0
70.0	7.53012	0	0	0
71.0	7.530162	0	0	0
72.0	7.530198	0	0	0
73.0	7.53023	0	0	0
74.0	7.530257	0	0	0
75.0	7.53028	0	0	0
76.0	7.5303	0	0	0
77.0	7.530318	0	0	0
78.0	7.530333	0	0	0
79.0	7.530346	0	0	0
80.0	7.530358	0	0	0
81.0	7.530367	0	0	0
82.0	7.530376	0	0	0
83.0	7.530383	0	0	0
84.0	7.53039	0	0	0
85.0	7.530395	0	0	0
86.0	7.5304	0	0	0
87.0	7.530404	0	0	0
88.0	7.530408	0	0	0
89.0	7.530411	0	0	0
90.0	7.530414	0	0	0
91.0	7.530416	0	0	0
92.0	7.530418	0	0	0
93.0	7.53042	0	0	0
94.0	7.530421	0	0	0
95.0	7.530422	0	0	0
96.0	7.530424	0	0	0
97.0	7.530425	0	0	0
98.0	7.530425	0	0	0
99.0	7.530426	0	0	0
100.0	7.530427	0	0	0

