## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT /var/lib/cwl/stgafd0d50a-b805-4013-b2ac-658362c868a0/NA20769.bam --OUTPUT NA20769.bam --METRICS_FILE NA20769.metrics.txt  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 20 02:10:10 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NA20769	2	29630	5263	2	0	3524	481	0.118929	129714

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.014689	22979	0	23360
2.0	1.822164	2792	459	2492
3.0	2.464741	280	11	215
4.0	2.976095	49	0	35
5.0	3.383022	5	0	4
6.0	3.70685	1	0	0
7.0	3.964546	0	0	0
8.0	4.169618	0	0	0
9.0	4.332811	0	0	0
10.0	4.462677	0	0	0
11.0	4.566023	0	0	0
12.0	4.648264	0	0	0
13.0	4.713711	0	0	0
14.0	4.765792	0	0	0
15.0	4.807238	0	0	0
16.0	4.840219	0	0	0
17.0	4.866466	0	0	0
18.0	4.887352	0	0	0
19.0	4.903973	0	0	0
20.0	4.9172	0	0	0
21.0	4.927726	0	0	0
22.0	4.936102	0	0	0
23.0	4.942768	0	0	0
24.0	4.948072	0	0	0
25.0	4.952294	0	0	0
26.0	4.955653	0	0	0
27.0	4.958326	0	0	0
28.0	4.960453	0	0	0
29.0	4.962146	0	0	0
30.0	4.963493	0	0	0
31.0	4.964565	0	0	0
32.0	4.965418	0	0	0
33.0	4.966097	0	0	0
34.0	4.966638	0	0	0
35.0	4.967067	0	0	0
36.0	4.96741	0	0	0
37.0	4.967682	0	0	0
38.0	4.967899	0	0	0
39.0	4.968071	0	0	0
40.0	4.968208	0	0	0
41.0	4.968317	0	0	0
42.0	4.968404	0	0	0
43.0	4.968473	0	0	0
44.0	4.968528	0	0	0
45.0	4.968572	0	0	0
46.0	4.968607	0	0	0
47.0	4.968635	0	0	0
48.0	4.968657	0	0	0
49.0	4.968674	0	0	0
50.0	4.968688	0	0	0
51.0	4.968699	0	0	0
52.0	4.968708	0	0	0
53.0	4.968715	0	0	0
54.0	4.968721	0	0	0
55.0	4.968725	0	0	0
56.0	4.968729	0	0	0
57.0	4.968732	0	0	0
58.0	4.968734	0	0	0
59.0	4.968736	0	0	0
60.0	4.968737	0	0	0
61.0	4.968738	0	0	0
62.0	4.968739	0	0	0
63.0	4.96874	0	0	0
64.0	4.968741	0	0	0
65.0	4.968741	0	0	0
66.0	4.968741	0	0	0
67.0	4.968742	0	0	0
68.0	4.968742	0	0	0
69.0	4.968742	0	0	0
70.0	4.968742	0	0	0
71.0	4.968742	0	0	0
72.0	4.968742	0	0	0
73.0	4.968743	0	0	0
74.0	4.968743	0	0	0
75.0	4.968743	0	0	0
76.0	4.968743	0	0	0
77.0	4.968743	0	0	0
78.0	4.968743	0	0	0
79.0	4.968743	0	0	0
80.0	4.968743	0	0	0
81.0	4.968743	0	0	0
82.0	4.968743	0	0	0
83.0	4.968743	0	0	0
84.0	4.968743	0	0	0
85.0	4.968743	0	0	0
86.0	4.968743	0	0	0
87.0	4.968743	0	0	0
88.0	4.968743	0	0	0
89.0	4.968743	0	0	0
90.0	4.968743	0	0	0
91.0	4.968743	0	0	0
92.0	4.968743	0	0	0
93.0	4.968743	0	0	0
94.0	4.968743	0	0	0
95.0	4.968743	0	0	0
96.0	4.968743	0	0	0
97.0	4.968743	0	0	0
98.0	4.968743	0	0	0
99.0	4.968743	0	0	0
100.0	4.968743	0	0	0

