## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT /var/lib/cwl/stg7588aca2-533d-41ab-9ae0-c252c6054e99/NA12775.bam --OUTPUT NA12775.bam --METRICS_FILE NA12775.metrics.txt  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 18 10:28:10 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NA12775	17	31051	5000	17	0	2568	303	0.08268	198325

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.009103	26138	0	26398
2.0	1.871961	2148	299	1928
3.0	2.60977	175	2	138
4.0	3.240651	19	0	16
5.0	3.780102	2	0	2
6.0	4.241373	1	0	1
7.0	4.635795	0	0	0
8.0	4.973054	0	0	0
9.0	5.261437	0	0	0
10.0	5.508025	0	0	0
11.0	5.718877	0	0	0
12.0	5.899171	0	0	0
13.0	6.053335	0	0	0
14.0	6.185158	0	0	0
15.0	6.297876	0	0	0
16.0	6.394258	0	0	0
17.0	6.476672	0	0	0
18.0	6.547143	0	0	0
19.0	6.6074	0	0	0
20.0	6.658925	0	0	0
21.0	6.702982	0	0	0
22.0	6.740654	0	0	0
23.0	6.772867	0	0	0
24.0	6.800411	0	0	0
25.0	6.823963	0	0	0
26.0	6.844103	0	0	0
27.0	6.861323	0	0	0
28.0	6.876048	0	0	0
29.0	6.888638	0	0	0
30.0	6.899404	0	0	0
31.0	6.90861	0	0	0
32.0	6.916482	0	0	0
33.0	6.923213	0	0	0
34.0	6.928968	0	0	0
35.0	6.933889	0	0	0
36.0	6.938097	0	0	0
37.0	6.941695	0	0	0
38.0	6.944772	0	0	0
39.0	6.947403	0	0	0
40.0	6.949653	0	0	0
41.0	6.951576	0	0	0
42.0	6.953221	0	0	0
43.0	6.954627	0	0	0
44.0	6.95583	0	0	0
45.0	6.956858	0	0	0
46.0	6.957737	0	0	0
47.0	6.958489	0	0	0
48.0	6.959132	0	0	0
49.0	6.959682	0	0	0
50.0	6.960152	0	0	0
51.0	6.960554	0	0	0
52.0	6.960898	0	0	0
53.0	6.961191	0	0	0
54.0	6.961443	0	0	0
55.0	6.961658	0	0	0
56.0	6.961841	0	0	0
57.0	6.961998	0	0	0
58.0	6.962133	0	0	0
59.0	6.962248	0	0	0
60.0	6.962346	0	0	0
61.0	6.96243	0	0	0
62.0	6.962502	0	0	0
63.0	6.962563	0	0	0
64.0	6.962615	0	0	0
65.0	6.96266	0	0	0
66.0	6.962699	0	0	0
67.0	6.962732	0	0	0
68.0	6.96276	0	0	0
69.0	6.962784	0	0	0
70.0	6.962804	0	0	0
71.0	6.962822	0	0	0
72.0	6.962837	0	0	0
73.0	6.96285	0	0	0
74.0	6.962861	0	0	0
75.0	6.96287	0	0	0
76.0	6.962878	0	0	0
77.0	6.962885	0	0	0
78.0	6.962891	0	0	0
79.0	6.962896	0	0	0
80.0	6.9629	0	0	0
81.0	6.962904	0	0	0
82.0	6.962907	0	0	0
83.0	6.962909	0	0	0
84.0	6.962912	0	0	0
85.0	6.962914	0	0	0
86.0	6.962915	0	0	0
87.0	6.962917	0	0	0
88.0	6.962918	0	0	0
89.0	6.962919	0	0	0
90.0	6.96292	0	0	0
91.0	6.962921	0	0	0
92.0	6.962921	0	0	0
93.0	6.962922	0	0	0
94.0	6.962922	0	0	0
95.0	6.962923	0	0	0
96.0	6.962923	0	0	0
97.0	6.962923	0	0	0
98.0	6.962924	0	0	0
99.0	6.962924	0	0	0
100.0	6.962924	0	0	0

