## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT /var/lib/cwl/stg339c5b34-dc75-45f0-a9e4-e583f6036a6b/NA12842.bam --OUTPUT NA12842.bam --METRICS_FILE NA12842.metrics.txt  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jul 21 08:31:25 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NA12842	4	26244	4996	4	0	2545	346	0.096967	143741

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.012177	21396	0	21687
2.0	1.855442	2082	342	1836
3.0	2.557982	200	2	165
4.0	3.143282	21	0	11
5.0	3.630906	0	0	0
6.0	4.037156	0	0	0
7.0	4.37561	0	0	0
8.0	4.657583	0	0	0
9.0	4.8925	0	0	0
10.0	5.088214	0	0	0
11.0	5.251267	0	0	0
12.0	5.387109	0	0	0
13.0	5.500282	0	0	0
14.0	5.594569	0	0	0
15.0	5.673121	0	0	0
16.0	5.738564	0	0	0
17.0	5.793086	0	0	0
18.0	5.83851	0	0	0
19.0	5.876353	0	0	0
20.0	5.907881	0	0	0
21.0	5.934147	0	0	0
22.0	5.95603	0	0	0
23.0	5.974261	0	0	0
24.0	5.98945	0	0	0
25.0	6.002104	0	0	0
26.0	6.012646	0	0	0
27.0	6.021429	0	0	0
28.0	6.028747	0	0	0
29.0	6.034843	0	0	0
30.0	6.039922	0	0	0
31.0	6.044153	0	0	0
32.0	6.047678	0	0	0
33.0	6.050615	0	0	0
34.0	6.053062	0	0	0
35.0	6.0551	0	0	0
36.0	6.056799	0	0	0
37.0	6.058214	0	0	0
38.0	6.059392	0	0	0
39.0	6.060374	0	0	0
40.0	6.061193	0	0	0
41.0	6.061874	0	0	0
42.0	6.062442	0	0	0
43.0	6.062915	0	0	0
44.0	6.063309	0	0	0
45.0	6.063638	0	0	0
46.0	6.063911	0	0	0
47.0	6.064139	0	0	0
48.0	6.064329	0	0	0
49.0	6.064487	0	0	0
50.0	6.064619	0	0	0
51.0	6.064729	0	0	0
52.0	6.06482	0	0	0
53.0	6.064897	0	0	0
54.0	6.06496	0	0	0
55.0	6.065013	0	0	0
56.0	6.065057	0	0	0
57.0	6.065094	0	0	0
58.0	6.065124	0	0	0
59.0	6.06515	0	0	0
60.0	6.065171	0	0	0
61.0	6.065189	0	0	0
62.0	6.065203	0	0	0
63.0	6.065216	0	0	0
64.0	6.065226	0	0	0
65.0	6.065234	0	0	0
66.0	6.065242	0	0	0
67.0	6.065247	0	0	0
68.0	6.065252	0	0	0
69.0	6.065257	0	0	0
70.0	6.06526	0	0	0
71.0	6.065263	0	0	0
72.0	6.065265	0	0	0
73.0	6.065267	0	0	0
74.0	6.065269	0	0	0
75.0	6.06527	0	0	0
76.0	6.065271	0	0	0
77.0	6.065272	0	0	0
78.0	6.065273	0	0	0
79.0	6.065274	0	0	0
80.0	6.065274	0	0	0
81.0	6.065275	0	0	0
82.0	6.065275	0	0	0
83.0	6.065275	0	0	0
84.0	6.065276	0	0	0
85.0	6.065276	0	0	0
86.0	6.065276	0	0	0
87.0	6.065276	0	0	0
88.0	6.065276	0	0	0
89.0	6.065276	0	0	0
90.0	6.065277	0	0	0
91.0	6.065277	0	0	0
92.0	6.065277	0	0	0
93.0	6.065277	0	0	0
94.0	6.065277	0	0	0
95.0	6.065277	0	0	0
96.0	6.065277	0	0	0
97.0	6.065277	0	0	0
98.0	6.065277	0	0	0
99.0	6.065277	0	0	0
100.0	6.065277	0	0	0

