## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT /var/lib/cwl/stge70521d0-0bb6-4925-9d8e-d61c96a1f11a/NA18549.bam --OUTPUT NA18549.bam --METRICS_FILE NA18549.metrics.txt  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jul 16 01:51:57 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NA18549	17	29101	6423	17	5	2666	464	0.091671	176538

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.014904	24014	0	24385
2.0	1.875571	2204	432	1910
3.0	2.605439	194	16	130
4.0	3.224387	18	0	8
5.0	3.749272	5	0	2
6.0	4.194388	0	0	0
7.0	4.571859	0	0	0
8.0	4.891965	0	0	0
9.0	5.163423	0	0	0
10.0	5.393627	0	0	0
11.0	5.588846	0	0	0
12.0	5.754397	0	0	0
13.0	5.894789	0	0	0
14.0	6.013845	0	0	0
15.0	6.114807	0	0	0
16.0	6.200427	0	0	0
17.0	6.273034	0	0	0
18.0	6.334607	0	0	0
19.0	6.386823	0	0	0
20.0	6.431103	0	0	0
21.0	6.468654	0	0	0
22.0	6.500498	0	0	0
23.0	6.527502	0	0	0
24.0	6.550403	0	0	0
25.0	6.569824	0	0	0
26.0	6.586293	0	0	0
27.0	6.600259	0	0	0
28.0	6.612102	0	0	0
29.0	6.622146	0	0	0
30.0	6.630664	0	0	0
31.0	6.637887	0	0	0
32.0	6.644012	0	0	0
33.0	6.649206	0	0	0
34.0	6.653611	0	0	0
35.0	6.657347	0	0	0
36.0	6.660515	0	0	0
37.0	6.663201	0	0	0
38.0	6.665479	0	0	0
39.0	6.667411	0	0	0
40.0	6.66905	0	0	0
41.0	6.670439	0	0	0
42.0	6.671617	0	0	0
43.0	6.672616	0	0	0
44.0	6.673464	0	0	0
45.0	6.674182	0	0	0
46.0	6.674792	0	0	0
47.0	6.675308	0	0	0
48.0	6.675747	0	0	0
49.0	6.676118	0	0	0
50.0	6.676433	0	0	0
51.0	6.676701	0	0	0
52.0	6.676927	0	0	0
53.0	6.677119	0	0	0
54.0	6.677282	0	0	0
55.0	6.677421	0	0	0
56.0	6.677538	0	0	0
57.0	6.677637	0	0	0
58.0	6.677721	0	0	0
59.0	6.677793	0	0	0
60.0	6.677854	0	0	0
61.0	6.677905	0	0	0
62.0	6.677949	0	0	0
63.0	6.677986	0	0	0
64.0	6.678017	0	0	0
65.0	6.678043	0	0	0
66.0	6.678066	0	0	0
67.0	6.678085	0	0	0
68.0	6.678101	0	0	0
69.0	6.678115	0	0	0
70.0	6.678127	0	0	0
71.0	6.678137	0	0	0
72.0	6.678145	0	0	0
73.0	6.678152	0	0	0
74.0	6.678158	0	0	0
75.0	6.678163	0	0	0
76.0	6.678168	0	0	0
77.0	6.678171	0	0	0
78.0	6.678174	0	0	0
79.0	6.678177	0	0	0
80.0	6.678179	0	0	0
81.0	6.678181	0	0	0
82.0	6.678183	0	0	0
83.0	6.678184	0	0	0
84.0	6.678185	0	0	0
85.0	6.678186	0	0	0
86.0	6.678187	0	0	0
87.0	6.678188	0	0	0
88.0	6.678188	0	0	0
89.0	6.678189	0	0	0
90.0	6.678189	0	0	0
91.0	6.67819	0	0	0
92.0	6.67819	0	0	0
93.0	6.67819	0	0	0
94.0	6.678191	0	0	0
95.0	6.678191	0	0	0
96.0	6.678191	0	0	0
97.0	6.678191	0	0	0
98.0	6.678191	0	0	0
99.0	6.678191	0	0	0
100.0	6.678191	0	0	0

