## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT /var/lib/cwl/stg1509833e-314c-462c-8d88-64ccbdd3c0a0/NA20752.bam --OUTPUT NA20752.bam --METRICS_FILE NA20752.metrics.txt  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jul 19 01:58:54 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NA20752	3	29577	5817	3	1	3296	384	0.111449	136428

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.011779	23340	0	23642
2.0	1.826357	2630	374	2397
3.0	2.48217	269	5	213
4.0	3.01016	40	0	27
5.0	3.435243	2	0	2
6.0	3.777474	0	0	0
7.0	4.053003	0	0	0
8.0	4.27483	0	0	0
9.0	4.453421	0	0	0
10.0	4.597204	0	0	0
11.0	4.712963	0	0	0
12.0	4.80616	0	0	0
13.0	4.881192	0	0	0
14.0	4.9416	0	0	0
15.0	4.990234	0	0	0
16.0	5.029389	0	0	0
17.0	5.060913	0	0	0
18.0	5.086292	0	0	0
19.0	5.106725	0	0	0
20.0	5.123175	0	0	0
21.0	5.136419	0	0	0
22.0	5.147082	0	0	0
23.0	5.155667	0	0	0
24.0	5.162578	0	0	0
25.0	5.168142	0	0	0
26.0	5.172622	0	0	0
27.0	5.176229	0	0	0
28.0	5.179132	0	0	0
29.0	5.18147	0	0	0
30.0	5.183352	0	0	0
31.0	5.184868	0	0	0
32.0	5.186087	0	0	0
33.0	5.18707	0	0	0
34.0	5.18786	0	0	0
35.0	5.188497	0	0	0
36.0	5.18901	0	0	0
37.0	5.189422	0	0	0
38.0	5.189754	0	0	0
39.0	5.190022	0	0	0
40.0	5.190237	0	0	0
41.0	5.190411	0	0	0
42.0	5.19055	0	0	0
43.0	5.190663	0	0	0
44.0	5.190753	0	0	0
45.0	5.190826	0	0	0
46.0	5.190884	0	0	0
47.0	5.190932	0	0	0
48.0	5.19097	0	0	0
49.0	5.191	0	0	0
50.0	5.191025	0	0	0
51.0	5.191045	0	0	0
52.0	5.191061	0	0	0
53.0	5.191074	0	0	0
54.0	5.191084	0	0	0
55.0	5.191092	0	0	0
56.0	5.191099	0	0	0
57.0	5.191104	0	0	0
58.0	5.191109	0	0	0
59.0	5.191112	0	0	0
60.0	5.191115	0	0	0
61.0	5.191117	0	0	0
62.0	5.191119	0	0	0
63.0	5.191121	0	0	0
64.0	5.191122	0	0	0
65.0	5.191123	0	0	0
66.0	5.191123	0	0	0
67.0	5.191124	0	0	0
68.0	5.191125	0	0	0
69.0	5.191125	0	0	0
70.0	5.191125	0	0	0
71.0	5.191126	0	0	0
72.0	5.191126	0	0	0
73.0	5.191126	0	0	0
74.0	5.191126	0	0	0
75.0	5.191126	0	0	0
76.0	5.191126	0	0	0
77.0	5.191126	0	0	0
78.0	5.191126	0	0	0
79.0	5.191126	0	0	0
80.0	5.191127	0	0	0
81.0	5.191127	0	0	0
82.0	5.191127	0	0	0
83.0	5.191127	0	0	0
84.0	5.191127	0	0	0
85.0	5.191127	0	0	0
86.0	5.191127	0	0	0
87.0	5.191127	0	0	0
88.0	5.191127	0	0	0
89.0	5.191127	0	0	0
90.0	5.191127	0	0	0
91.0	5.191127	0	0	0
92.0	5.191127	0	0	0
93.0	5.191127	0	0	0
94.0	5.191127	0	0	0
95.0	5.191127	0	0	0
96.0	5.191127	0	0	0
97.0	5.191127	0	0	0
98.0	5.191127	0	0	0
99.0	5.191127	0	0	0
100.0	5.191127	0	0	0

