## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates  --INPUT /var/lib/cwl/stg2b699d2e-a323-4748-945e-d1bc8b97f6bd/NA20764.bam --OUTPUT NA20764.bam --METRICS_FILE NA20764.metrics.txt  --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jul 20 09:32:58 GMT 2023

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
NA20764	2	29016	5213	2	1	2515	243	0.086691	172470

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.007755	24225	0	24423
2.0	1.859462	2068	230	1908
3.0	2.579284	181	5	149
4.0	3.187644	24	1	19
5.0	3.701801	2	0	1
6.0	4.136342	1	0	1
7.0	4.503595	0	0	0
8.0	4.813981	0	0	0
9.0	5.076304	0	0	0
10.0	5.298007	0	0	0
11.0	5.48538	0	0	0
12.0	5.643738	0	0	0
13.0	5.777576	0	0	0
14.0	5.890689	0	0	0
15.0	5.986286	0	0	0
16.0	6.067081	0	0	0
17.0	6.135365	0	0	0
18.0	6.193075	0	0	0
19.0	6.241849	0	0	0
20.0	6.283071	0	0	0
21.0	6.317909	0	0	0
22.0	6.347353	0	0	0
23.0	6.372237	0	0	0
24.0	6.393268	0	0	0
25.0	6.411043	0	0	0
26.0	6.426065	0	0	0
27.0	6.438761	0	0	0
28.0	6.449492	0	0	0
29.0	6.45856	0	0	0
30.0	6.466224	0	0	0
31.0	6.472702	0	0	0
32.0	6.478177	0	0	0
33.0	6.482803	0	0	0
34.0	6.486714	0	0	0
35.0	6.490019	0	0	0
36.0	6.492812	0	0	0
37.0	6.495172	0	0	0
38.0	6.497167	0	0	0
39.0	6.498853	0	0	0
40.0	6.500278	0	0	0
41.0	6.501483	0	0	0
42.0	6.502501	0	0	0
43.0	6.503361	0	0	0
44.0	6.504088	0	0	0
45.0	6.504703	0	0	0
46.0	6.505222	0	0	0
47.0	6.505661	0	0	0
48.0	6.506032	0	0	0
49.0	6.506345	0	0	0
50.0	6.50661	0	0	0
51.0	6.506834	0	0	0
52.0	6.507023	0	0	0
53.0	6.507183	0	0	0
54.0	6.507318	0	0	0
55.0	6.507433	0	0	0
56.0	6.507529	0	0	0
57.0	6.507611	0	0	0
58.0	6.50768	0	0	0
59.0	6.507738	0	0	0
60.0	6.507787	0	0	0
61.0	6.507829	0	0	0
62.0	6.507864	0	0	0
63.0	6.507894	0	0	0
64.0	6.507919	0	0	0
65.0	6.50794	0	0	0
66.0	6.507958	0	0	0
67.0	6.507973	0	0	0
68.0	6.507986	0	0	0
69.0	6.507997	0	0	0
70.0	6.508006	0	0	0
71.0	6.508014	0	0	0
72.0	6.508021	0	0	0
73.0	6.508026	0	0	0
74.0	6.508031	0	0	0
75.0	6.508035	0	0	0
76.0	6.508038	0	0	0
77.0	6.508041	0	0	0
78.0	6.508043	0	0	0
79.0	6.508045	0	0	0
80.0	6.508047	0	0	0
81.0	6.508048	0	0	0
82.0	6.50805	0	0	0
83.0	6.508051	0	0	0
84.0	6.508052	0	0	0
85.0	6.508052	0	0	0
86.0	6.508053	0	0	0
87.0	6.508053	0	0	0
88.0	6.508054	0	0	0
89.0	6.508054	0	0	0
90.0	6.508055	0	0	0
91.0	6.508055	0	0	0
92.0	6.508055	0	0	0
93.0	6.508055	0	0	0
94.0	6.508055	0	0	0
95.0	6.508056	0	0	0
96.0	6.508056	0	0	0
97.0	6.508056	0	0	0
98.0	6.508056	0	0	0
99.0	6.508056	0	0	0
100.0	6.508056	0	0	0

